Source (A),,,,,Source (B),,,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
14101609,,,,,"I have nothing against them .There is more to race than just skin color .I guess us whites who tan for most of the year stop being whites save for a few winter days , eh ?I respect them .I like the Japanese , i really do .",,,45,58.95,18.71,82.75,99,45,8.89,88.89,57.78,20,17.78,11.11,2.22,0,0,4.44,2.22,6.67,13.33,8.89,6.67,0,2.22,15.56,8.89,6.67,2.22,0,6.67,6.67,6.67,0,0,0,0,8.89,0,0,0,0,13.33,0,0,0,4.44,2.22,6.67,4.44,2.22,0,2.22,2.22,2.22,0,0,0,6.67,2.22,0,2.22,0,2.22,0,11.11,0,8.89,0,0,8.89,0,0,0,0,0,0,2.22,0,2.22,0,0,0,15.56,8.89,4.44,0,0,2.22,0,0,0,0,0,0
14038941,,,,,There are no excuses .That 's it I slag off anyone who did n't vote BNP or NF .Yep blame the grandparents parents plus school teachers .,,,26,24.14,87.57,5.76,1,26,15.38,76.92,50,19.23,3.85,3.85,0,0,0,0,15.38,3.85,7.69,7.69,3.85,7.69,3.85,7.69,0,0,3.85,0,0,3.85,0,3.85,0,3.85,0,23.08,7.69,0,0,3.85,7.69,0,0,0,7.69,0,3.85,0,0,0,0,0,0,0,0,0,11.54,3.85,0,3.85,3.85,0,3.85,3.85,0,3.85,0,3.85,0,7.69,0,0,0,0,0,3.85,0,3.85,3.85,0,0,19.23,11.54,0,0,0,0,0,0,0,7.69,0,0
13947162,,,,,How could you begin to tell people that all this multi cultural stuff is wrong without being hated on by our fellow people ?,,,23,24.89,99,2.02,1,23,8.7,95.65,56.52,21.74,8.7,0,4.35,4.35,0,0,13.04,0,17.39,13.04,4.35,4.35,4.35,26.09,4.35,0,4.35,0,4.35,8.7,0,8.7,0,4.35,0,30.43,0,4.35,0,4.35,17.39,0,4.35,4.35,0,4.35,4.35,0,0,0,0,0,0,0,0,0,8.7,4.35,0,0,0,4.35,4.35,13.04,0,8.7,0,4.35,4.35,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,4.35,0,0,0,0,0,0
14426812,,,,,Why not build little towns all around america instead of running to some little island that they can bomb if they wanted too .Also if your intrested check out our webpage for more info on our european american town we are building !,,,42,29.3,88.3,52.86,25.77,42,19.05,73.81,52.38,16.67,14.29,0,7.14,2.38,0,4.76,2.38,0,14.29,4.76,11.9,7.14,2.38,7.14,2.38,2.38,2.38,0,7.14,0,0,0,0,0,0,14.29,0,0,0,0,21.43,2.38,2.38,7.14,7.14,2.38,9.52,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,2.38,4.76,0,16.67,2.38,14.29,0,0,2.38,0,0,0,0,0,0,0,0,0,0,4.76,2.38,0,0,0,0,2.38,0,0,0,0,0
13503127,,,,,"Jacksonville police said Brian Williams broke into the home on Braddock Road while the family was out of town and baked brownies , drank orange juice , surfed porn websites and loaded up the victim 's car with bottles of liquor .http://www.news4jax.com/news/25976955/detail.htmlHispanic: A woman threw her 2 1/2-year-old granddaughter several stories to her death from a walkway at a shopping mall http://www.news4jax.com/video/25962136/index.html negro : -- Police arrested a 17-year-old who they said burglarized a home over the Thanksgiving weekend .",,,96,99,85.13,18.52,4.56,96,18.75,66.67,29.17,4.17,3.12,0,0,0,2.08,1.04,1.04,9.38,11.46,1.04,0,3.12,0,7.29,1.04,0,1.04,6.25,1.04,2.08,0,2.08,0,0,1.04,10.42,2.08,0,4.17,0,0,0,0,0,0,0,0,4.17,2.08,2.08,0,6.25,0,0,1.04,5.21,6.25,1.04,0,5.21,0,0,7.29,0,0,17.71,3.12,8.33,6.25,2.08,7.29,4.17,1.04,0,1.04,2.08,0,2.08,0,0,0,29.17,8.33,2.08,2.08,0,0,0,6.25,0,1.04,0,9.38
14299060,,,,,"Sadly, I think the government would step in if we tried to stop the lesser races from moving into our land .",,,21,96.66,82.96,98.01,1,21,4.76,90.48,52.38,14.29,14.29,4.76,9.52,0,0,0,0,9.52,19.05,4.76,0,4.76,0,19.05,0,0,0,0,0,4.76,0,4.76,0,0,4.76,9.52,0,0,0,0,14.29,4.76,0,9.52,4.76,0,4.76,0,0,0,0,0,0,0,0,0,23.81,9.52,4.76,4.76,0,4.76,4.76,4.76,0,28.57,9.52,14.29,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,9.52,4.76,4.76,0,0,0,0,0,0,0,0,0
14410182,,,,,Cant say over the net what I do EVERY day for our cause but you can bet I do my part .Lonewolfing mostly .It may be on a small and local scale but I contribute every day .,,,37,15.54,20.87,99,25.77,37,5.41,89.19,62.16,21.62,16.22,10.81,2.7,2.7,0,0,5.41,5.41,8.11,13.51,2.7,8.11,2.7,13.51,2.7,0,2.7,0,8.11,0,0,0,0,0,0,8.11,0,0,0,0,24.32,0,2.7,0,8.11,5.41,8.11,2.7,0,2.7,0,0,0,0,0,0,10.81,2.7,0,5.41,2.7,0,0,16.22,2.7,16.22,0,10.81,5.41,0,0,0,2.7,0,0,0,0,0,0,0,0,8.11,8.11,0,0,0,0,0,0,0,0,0,0
30391852,,,,,I think it goes back even to the 18th century and thats why I call it modern because it is neither ancient nor medieval ...,,,24,1,1.89,99,25.77,24,20.83,91.67,66.67,25,8.33,8.33,0,0,0,0,16.67,4.17,4.17,8.33,12.5,12.5,8.33,16.67,12.5,4.17,4.17,0,0,0,0,0,0,0,0,4.17,0,0,0,0,20.83,4.17,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,20.83,4.17,4.17,16.67,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0
30466478,,,,,"I am sure California is full of sick self hating whites , who think that for the good of all the black brown and yellow peoples of the world , whites need to commit racial suicide and disappear from their face of the earth for their sake and wo n't that be just dandy !",,,52,91.28,77.92,1.4,25.77,52,7.69,84.62,48.08,11.54,5.77,1.92,0,0,0,3.85,5.77,7.69,15.38,5.77,1.92,5.77,0,13.46,5.77,0,1.92,0,1.92,7.69,3.85,3.85,0,1.92,0,9.62,0,0,0,0,9.62,1.92,0,1.92,0,5.77,0,7.69,7.69,0,0,3.85,1.92,1.92,0,0,1.92,0,0,0,1.92,0,0,13.46,0,5.77,0,5.77,0,0,0,0,0,0,1.92,0,0,0,0,0,0,7.69,0,3.85,0,0,0,1.92,0,0,1.92,0,0
13463194,,,,,I've posted a thread in Stormfront Latin to help spread the WNPS and too see if we can get more translations .,,,21,68.29,68.29,2.82,25.77,21,9.52,71.43,47.62,9.52,9.52,4.76,4.76,0,0,0,0,9.52,9.52,9.52,4.76,9.52,0,19.05,4.76,4.76,0,0,4.76,0,0,0,0,0,0,9.52,0,0,0,0,4.76,0,0,4.76,4.76,0,4.76,4.76,4.76,0,0,0,0,0,0,0,14.29,9.52,0,4.76,4.76,0,4.76,19.05,0,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,4.76,0,0,0,0,0,0,0,4.76,0,0
13340814,,,,,To Hell with Planet X !There is no Planet X. Let 's stop talking about it before we start looking like crazies .Right.False information and bad science is right .,,,30,70.69,63.05,43.37,1,15,16.67,76.67,43.33,6.67,3.33,0,3.33,0,0,0,3.33,0,16.67,10,6.67,3.33,3.33,20,3.33,6.67,0,0,0,6.67,0,6.67,0,3.33,0,6.67,0,0,0,0,3.33,3.33,0,0,0,0,0,3.33,3.33,0,0,0,0,0,0,0,10,3.33,0,0,0,6.67,0,10,0,16.67,0,6.67,10,3.33,0,0,0,3.33,0,3.33,3.33,0,0,0,0,20,13.33,0,0,0,0,3.33,0,0,3.33,0,0
33677019,,,,,"Its like the choices are white genocide candidate 1 , 2 , or 3Wish we at least had a Marine Le Pen to vote for in Canada .",,,25,98.05,65.56,20.24,25.77,25,12,68,48,8,4,0,4,0,0,0,4,8,20,8,0,4,0,8,8,8,0,8,4,0,0,0,0,0,0,4,0,0,0,0,8,4,0,0,4,0,4,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,8,0,8,0,4,0,0,0,0,4,0,0,0,0,0,0,12,4,8,0,0,0,0,0,0,0,0,0
14109043,,,,,"I enjoy outdoor sports , although I never went fishing before .Hey Braveheart , I am almost 20 years old and I am a 5 ' 6' ' , blond/blue , 120lb female .I live in CT. and if you want to reply , my email address is bclaw23@hotmail.com ~ EuroCatB ~",,,46,30.06,25.7,80.16,66.89,23,17.39,73.91,43.48,15.22,15.22,13.04,0,2.17,0,0,0,2.17,6.52,6.52,4.35,8.7,2.17,13.04,6.52,2.17,0,6.52,0,2.17,2.17,0,0,0,0,10.87,0,0,2.17,0,10.87,0,0,4.35,4.35,2.17,4.35,2.17,2.17,0,0,2.17,0,2.17,0,0,0,0,0,0,0,0,2.17,10.87,0,13.04,2.17,2.17,8.7,0,4.35,2.17,0,0,0,2.17,0,0,0,0,0,34.78,8.7,10.87,0,0,0,0,0,0,6.52,0,8.7
14671289,,,,,Unreal .We're speaking out against our race being destroyed and this guy is making up hypothetical scenarios about snack time and windowless rooms .,,,23,60.05,98.44,54.89,1,23,26.09,86.96,47.83,13.04,8.7,0,8.7,0,0,0,4.35,0,17.39,8.7,4.35,8.7,0,21.74,0,0,0,0,0,4.35,0,4.35,0,4.35,0,17.39,0,4.35,0,4.35,13.04,0,4.35,0,4.35,0,4.35,4.35,0,4.35,0,4.35,0,0,0,4.35,17.39,8.7,0,8.7,0,0,0,8.7,0,17.39,0,13.04,4.35,0,0,8.7,0,0,0,0,0,0,0,0,0,13.04,8.7,0,0,0,0,0,0,0,4.35,0,0
30709706,,,,,"I 'll have a lot of Asian teachers when I transfer to university though .I hope it goes well .I have n't had enough teachers of different races to compare that .With the exception of two mestizo teachers , all my teachers from kindergarten to now have been white .",,,48,62.04,4.8,62.53,92.4,48,22.92,87.5,54.17,14.58,10.42,10.42,0,0,0,0,4.17,4.17,16.67,10.42,8.33,4.17,0,14.58,6.25,4.17,2.08,2.08,4.17,4.17,4.17,0,0,0,0,0,0,0,0,0,12.5,0,0,2.08,4.17,2.08,6.25,2.08,2.08,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,4.17,12.5,2.08,8.33,4.17,0,4.17,14.58,0,0,0,0,0,2.08,0,0,0,2.08,0,14.58,8.33,2.08,0,0,0,0,0,0,4.17,0,0
30709708,,,,,I have heard this from many different groups .I have always had the best results when I have teachers that are like me .The students who study arts tend to like bohemian teachers while I as a math student prefer more engineer type teachers .I prefer male teachers and my girlfriend says she likes female teachers .,,,55,32.58,50,31.94,98.09,55,23.64,94.55,45.45,20,14.55,12.73,0,0,1.82,0,5.45,5.45,5.45,9.09,1.82,7.27,0,18.18,9.09,9.09,3.64,0,5.45,5.45,5.45,0,0,0,0,14.55,0,1.82,3.64,1.82,9.09,3.64,1.82,3.64,0,1.82,1.82,3.64,0,3.64,0,0,0,0,0,0,18.18,3.64,1.82,14.55,1.82,0,3.64,14.55,0,5.45,0,0,5.45,16.36,1.82,0,0,0,0,0,0,0,0,0,0,7.27,7.27,0,0,0,0,0,0,0,0,0,0
30482558,,,,,"And encourage your friends/acquaintances you see daily to change this bad habit .Yes, you 've been talking that way aloud in the public for most of your life .If you really want to change that bad grammar habit , simply practice at home ( or in your work cubicle ) - say out loud `` would have '' , `` should have '' , `` could have '' 100 times a day for each phrase ( yes for a total of 300 times per day ) until it is part of your normal everyday speech .Hope this helps. .",,,85,71.64,98.23,8.97,47.53,85,9.41,89.41,49.41,15.29,8.24,0,0,8.24,0,0,7.06,3.53,15.29,9.41,2.35,4.71,0,16.47,3.53,1.18,0,2.35,4.71,5.88,3.53,2.35,0,0,0,16.47,0,2.35,0,0,15.29,0,2.35,7.06,4.71,2.35,3.53,4.71,1.18,3.53,0,1.18,0,1.18,0,0,8.24,3.53,2.35,0,0,2.35,1.18,12.94,1.18,16.47,2.35,5.88,8.24,3.53,0,1.18,0,0,0,2.35,0,0,2.35,0,0,32.94,5.88,4.71,0,0,0,0,1.18,0,8.24,4.71,8.24
14026199,,,,,There is no difference .They just say this because it makes it sound better and know that people would be less likely to speak out against this .,,,27,7.88,64.46,4.97,88.52,27,11.11,100,62.96,22.22,3.7,0,0,0,0,3.7,18.52,0,11.11,11.11,7.41,7.41,3.7,25.93,11.11,11.11,0,0,3.7,3.7,3.7,0,0,0,0,14.81,0,0,0,0,25.93,3.7,7.41,3.7,3.7,0,7.41,11.11,0,11.11,0,0,0,0,0,0,3.7,0,3.7,0,3.7,0,0,22.22,0,3.7,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,7.41,0,0,0,0,0,0,0,0,0,0
30787666,,,,,"The Jew Fag professes to be a White Nationalist .So laughable .....There was an article in Sunday 's New York Post , about some Jew Fag that was stalking a famous fag `` Anderson Cooper '' .",,,33,89.96,18.16,6.95,80.64,33,18.18,75.76,39.39,3.03,0,0,0,0,0,0,3.03,12.12,9.09,9.09,9.09,3.03,0,9.09,6.06,0,0,0,3.03,3.03,3.03,0,0,0,0,0,0,0,0,0,3.03,0,0,0,3.03,0,0,6.06,3.03,3.03,0,0,0,0,0,0,3.03,0,0,3.03,0,0,6.06,3.03,0,12.12,0,3.03,6.06,0,0,0,0,6.06,0,9.09,9.09,0,0,0,0,39.39,21.21,3.03,0,0,0,0,0,0,9.09,0,6.06
14039906,,,,,There have been times when I have walked past some nigerian or skinny and they will cough with hand at their side without care for those around them .Yes i have noticed this too where I live .It is disgusting .The indians and stanis will just spit all over the street .,,,51,12.21,27.83,95.79,25.77,51,9.8,94.12,62.75,17.65,11.76,5.88,0,0,0,5.88,5.88,3.92,11.76,13.73,11.76,7.84,1.96,21.57,1.96,0,3.92,0,3.92,3.92,1.96,1.96,0,0,0,5.88,0,0,0,0,9.8,1.96,0,0,3.92,1.96,3.92,1.96,0,0,1.96,7.84,3.92,3.92,0,0,1.96,0,0,1.96,0,0,7.84,11.76,3.92,19.61,1.96,11.76,5.88,0,0,0,0,0,0,1.96,0,0,1.96,0,0,7.84,7.84,0,0,0,0,0,0,0,0,0,0
30520740,,,,,"The weakness of a bat is the wind up , when you draw back to swing you are wide open to attack for about 1/2 second .",,,26,96.16,93.79,63.54,1,26,3.85,80.77,57.69,7.69,7.69,0,0,7.69,0,0,0,11.54,23.08,7.69,11.54,3.85,0,15.38,3.85,0,3.85,11.54,0,3.85,0,3.85,0,3.85,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.54,0,0,11.54,0,0,0,15.38,0,23.08,3.85,15.38,7.69,0,0,0,0,0,0,0,0,0,0,0,0,11.54,3.85,3.85,0,0,0,0,0,0,0,0,3.85
30594180,,,,,"No, I 'm in Spanish class at school in Canada and we focus sometimes on Mexican slang and do n't learn vosotros .",,,22,80.14,50,96.4,25.77,22,18.18,63.64,45.45,9.09,9.09,4.55,4.55,0,0,0,0,0,18.18,4.55,0,9.09,4.55,9.09,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,9.09,4.55,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,4.55,4.55,0,0,0,0,0,9.09,0,22.73,0,18.18,4.55,13.64,0,0,0,0,0,0,0,0,0,0,0,18.18,4.55,4.55,0,0,0,0,0,0,9.09,0,0
30481005,,,,,Paul also has a daily radio program throughout the week on White Pride radio | The Voice of the White Resistance ! called ' The Fightin ' Side Of Me ' .,,,26,99,64.99,38.39,25.77,13,15.38,96.15,46.15,3.85,3.85,3.85,0,0,0,0,0,19.23,15.38,3.85,3.85,3.85,0,7.69,11.54,0,0,0,0,7.69,3.85,3.85,0,3.85,0,7.69,0,0,0,0,0,0,0,0,0,0,0,19.23,7.69,11.54,0,0,0,0,0,0,7.69,0,3.85,3.85,0,0,3.85,3.85,0,15.38,0,7.69,7.69,3.85,7.69,0,0,0,0,0,0,0,0,0,0,23.08,3.85,0,0,0,0,3.85,0,0,11.54,0,3.85
30709920,,,,,"Does your wife post here ?There 's a social group she can join to post in and not have to post publicly , if she wants .I 'd love to have her join our homeschool discussions .",,,35,29.3,98.85,1,78.19,35,8.57,88.57,57.14,17.14,17.14,2.86,2.86,2.86,8.57,0,0,2.86,11.43,11.43,5.71,5.71,2.86,17.14,0,0,0,0,2.86,2.86,2.86,0,0,0,0,28.57,2.86,0,11.43,0,8.57,0,0,5.71,2.86,0,5.71,0,0,0,0,2.86,0,0,0,0,20,20,0,0,0,0,0,20,2.86,11.43,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,17.14,5.71,2.86,0,0,2.86,0,0,0,5.71,0,0
14301307,,,,,Did you see anything other than white faces in that non racially edited video ?this video pretty much proves the local demographics .The best thing about Thursday fest recently is the home made ice cream they make in front of you with liquid nitrogen !!!,,,44,87.93,75.24,46.36,94.75,44,13.64,84.09,43.18,18.18,6.82,0,0,4.55,0,2.27,11.36,6.82,13.64,4.55,2.27,0,0,11.36,9.09,6.82,0,0,2.27,4.55,4.55,0,0,0,0,6.82,0,0,0,0,15.91,2.27,4.55,0,4.55,2.27,4.55,9.09,9.09,0,0,4.55,2.27,0,0,2.27,2.27,0,2.27,2.27,2.27,0,4.55,6.82,0,13.64,0,9.09,4.55,2.27,4.55,2.27,0,0,0,0,0,0,0,0,0,11.36,2.27,0,0,0,2.27,6.82,0,0,0,0,0
13642982,,,,,I would like to get some of the leaflets printed and distribute them but sadly I have not got the funds .,,,21,55.4,2.86,13.15,25.77,21,19.05,85.71,57.14,14.29,14.29,9.52,0,0,0,4.76,0,9.52,9.52,9.52,0,9.52,4.76,19.05,0,0,0,0,4.76,9.52,4.76,4.76,0,0,4.76,4.76,0,0,0,0,19.05,0,0,4.76,4.76,0,9.52,0,0,0,0,0,0,0,0,0,9.52,0,0,0,9.52,0,4.76,9.52,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,4.76,4.76,0,0,0,0,0,0,0,0,0,0
14094305,,,,,my first kiss was a girl that lived down the street from me when i was 10.I went to school with her younger sister.Her name was kelsey.She had blonde hair and blue eyes.She was 13.We were at the movies and then I figured I 'd take a chance and try to kiss her and it worked .,,,61,31.06,74.41,22.13,83.88,61,3.28,91.8,59.02,22.95,19.67,9.84,1.64,0,8.2,0,3.28,6.56,9.84,9.84,1.64,9.84,0,19.67,4.92,1.64,1.64,4.92,0,3.28,3.28,0,0,0,0,14.75,1.64,0,11.48,0,4.92,1.64,0,0,3.28,0,0,4.92,4.92,0,0,3.28,1.64,1.64,0,0,14.75,6.56,4.92,1.64,1.64,0,14.75,3.28,1.64,13.11,1.64,4.92,6.56,3.28,1.64,0,0,0,0,0,0,0,0,0,0,11.48,9.84,0,0,0,0,0,0,0,1.64,0,0
31781601,,,,,"Im in Roxbury .Sorry for my delay in answering , been working at a summer camp .Thanks for the e-mail and addresses .",,,21,98.45,31.71,99,25.77,21,19.05,85.71,52.38,9.52,9.52,9.52,0,0,0,0,0,9.52,23.81,9.52,0,4.76,0,19.05,4.76,0,0,0,0,9.52,4.76,4.76,0,0,4.76,4.76,0,0,0,0,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,4.76,0,0,0,4.76,9.52,0,23.81,0,14.29,9.52,4.76,0,0,0,0,0,0,0,0,0,0,0,23.81,14.29,4.76,0,0,0,0,4.76,0,0,0,0
14276578,,,,,"There are many interesting listings on this web site , including Stormfront 's own Advance Scout forum which teaches the principles of Pioneer Little Europe : http://www.angelfire.com/nv/micronations/usa.html",,,33,93.26,50,6.95,80.64,33,30.3,45.45,24.24,6.06,0,0,0,0,0,0,6.06,3.03,9.09,3.03,3.03,0,0,3.03,0,0,3.03,0,3.03,3.03,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,0,3.03,3.03,3.03,0,0,3.03,0,12.12,3.03,9.09,0,3.03,0,0,0,0,0,3.03,0,3.03,0,0,0,30.3,9.09,3.03,3.03,0,0,0,0,0,3.03,0,12.12
14112552,,,,,"right on !! i want a lil ' rotweiler , when i het one his/her name will be schatzi !! aww cause it will be my sweetie !!! - val ! ( i love that smiley ! )",,,29,7.24,63.49,26.55,99,5.8,10.34,86.21,51.72,27.59,20.69,13.79,0,0,6.9,0,6.9,3.45,3.45,13.79,3.45,3.45,0,17.24,3.45,0,3.45,3.45,0,10.34,10.34,0,0,0,0,17.24,0,3.45,3.45,3.45,6.9,0,3.45,3.45,0,0,0,0,0,0,0,3.45,0,0,0,0,10.34,6.9,0,3.45,0,0,0,10.34,6.9,13.79,0,10.34,3.45,0,0,0,0,0,0,6.9,0,6.9,0,0,0,51.72,0,3.45,0,0,0,31.03,3.45,0,3.45,6.9,3.45
13844126,,,,,I hate the word racist it makes people being called racist think that they are doing something wrong when they the immigrants coming here are doing something wrong,,,28,3.47,85.81,13.15,1,28,10.71,85.71,57.14,25,10.71,3.57,0,0,0,7.14,14.29,7.14,0,17.86,7.14,3.57,0,35.71,7.14,0,3.57,0,0,10.71,0,10.71,0,3.57,0,14.29,0,0,0,0,14.29,3.57,3.57,0,7.14,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,7.14,3.57,17.86,3.57,7.14,3.57,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30466508,,,,,Because there were already two other threads on it .You can click `` New Posts '' on the red bar before you wanna create a new thread to see if the news was already posted or not .,,,35,44.59,38.74,78.4,78.19,35,11.43,88.57,62.86,11.43,5.71,0,0,5.71,0,0,5.71,8.57,11.43,11.43,8.57,8.57,2.86,14.29,11.43,2.86,0,2.86,0,2.86,2.86,0,0,0,0,5.71,0,0,0,0,20,0,5.71,5.71,5.71,0,11.43,8.57,5.71,2.86,0,2.86,0,0,0,2.86,2.86,0,2.86,0,0,0,14.29,5.71,2.86,20,0,5.71,14.29,0,2.86,0,0,0,0,2.86,0,0,0,0,0,17.14,5.71,0,0,0,0,0,0,0,5.71,0,5.71
14289836,,,,,Always a need to keep the military spear sharp .Large enough to have a secure border and 100 mile free fire zone around it .,,,24,98.14,50,23.51,99,24,4.17,83.33,37.5,4.17,0,0,0,0,0,0,4.17,12.5,12.5,4.17,4.17,4.17,0,12.5,8.33,0,0,4.17,0,8.33,8.33,0,0,0,0,0,0,0,0,0,12.5,0,0,4.17,4.17,4.17,0,8.33,0,0,8.33,0,0,0,0,0,12.5,0,0,8.33,0,4.17,0,12.5,0,20.83,0,16.67,4.17,0,0,0,4.17,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0
13454668,,,,,"Racist woman rant in London part 1 - YouTube ORIGINAL Racist Black Girls Fighting , South London Railway Balham to Mitcham 18.11.2011 - YouTubeBlack ``women''on London transport ...",,,26,98.98,93.79,17.46,25.77,26,26.92,50,11.54,0,0,0,0,0,0,0,0,0,11.54,0,0,0,0,0,3.85,0,0,11.54,3.85,7.69,3.85,3.85,0,3.85,0,15.38,0,0,11.54,0,0,0,0,0,0,0,0,3.85,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,3.85,11.54,0,0,3.85,0,0,0,0,0,0,0,0,0,0,38.46,11.54,3.85,0,0,0,0,7.69,0,7.69,0,7.69
12883891,,,,,the father said on the news this morning the church has already told him they would appel the verdict and if they lost again they would just file bankruptcy and he wouldnt see a dime !,,,35,22.71,95.65,1,1.91,35,14.29,88.57,62.86,17.14,14.29,0,0,0,5.71,8.57,2.86,14.29,2.86,11.43,8.57,8.57,2.86,22.86,0,0,0,0,0,2.86,0,2.86,0,0,2.86,22.86,2.86,0,0,8.57,11.43,0,0,11.43,2.86,0,2.86,5.71,2.86,2.86,0,0,0,0,0,0,5.71,2.86,2.86,0,0,0,11.43,5.71,0,11.43,0,2.86,8.57,2.86,0,0,5.71,2.86,0,0,0,0,0,0,0,2.86,0,0,0,0,0,2.86,0,0,0,0,0
13502514,,,,,Africa is a hole area of natural resources and only made mud huts from it ... what wild life are able to make even better huts ie birds,,,27,75.9,50,1.22,88.52,13.5,7.41,74.07,40.74,7.41,0,0,0,0,0,0,7.41,3.7,11.11,7.41,7.41,3.7,0,14.81,7.41,3.7,3.7,0,0,3.7,3.7,0,0,0,0,0,0,0,0,0,7.41,0,7.41,0,0,0,0,0,0,0,0,3.7,0,3.7,0,0,7.41,0,7.41,0,3.7,0,3.7,11.11,0,7.41,0,7.41,0,3.7,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0
13507183,,,,,"Couple Befriend Negroid , Negroid Tries To Burn Down Couples Home - NNN Reporters Newsroom Forum Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire Reported by : Irika Sargent Last Update : 4/25 9 : 01 pm Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire | Local15tv.com , Mobile & Pensacola News , Entertainment , Videos , Business Search and Shopping This is what happens when you make friends with spearchuckers .",,,68,91.79,90.7,6.2,53.41,68,29.41,64.71,23.53,7.35,4.41,0,0,1.47,0,2.94,2.94,0,11.76,1.47,1.47,2.94,0,11.76,0,0,2.94,5.88,4.41,1.47,1.47,0,0,0,0,11.76,0,4.41,0,0,1.47,0,1.47,0,0,0,0,10.29,2.94,2.94,4.41,0,0,0,0,0,10.29,4.41,4.41,1.47,0,0,2.94,8.82,0,11.76,0,7.35,4.41,4.41,4.41,7.35,2.94,0,0,0,0,0,0,0,0,20.59,2.94,7.35,4.41,0,0,0,1.47,0,0,0,4.41
30386092,,,,,I had to change the kids site around a bit Liz ... here is the correct link for the FCKS ... Creative Kids,,,21,98.45,68.29,89.63,95.81,7,9.52,90.48,52.38,4.76,4.76,4.76,0,0,0,0,0,19.05,14.29,9.52,9.52,0,0,9.52,4.76,0,0,0,4.76,4.76,4.76,0,0,0,0,9.52,0,0,0,0,19.05,4.76,9.52,0,0,4.76,0,0,0,0,0,0,0,0,0,0,4.76,0,4.76,0,0,0,4.76,4.76,0,19.05,4.76,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0
13863745,,,,,"The famine was a planned event , to pacify a troublesome country .The english policy was one of extermination from day 1 .It was no accident .",,,25,98.05,34.44,6.7,1,25,24,80,48,4,0,0,0,0,0,0,4,16,12,12,0,0,4,12,0,0,0,8,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,4,0,4,12,0,0,12,0,4,8,4,0,0,0,0,4,0,0,0,0,0,0,16,12,4,0,0,0,0,0,0,0,0,0
30466506,,,,,"No tv ...Good for my young kids too , they watch old westerns and Anime cartoons .I just buy the movies/shows I like on DVD .",,,25,52.71,21.18,87.83,99,25,8,96,44,16,16,12,0,0,0,4,0,4,8,0,8,4,4,4,4,0,0,0,0,8,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,16,0,8,8,0,16,0,4,0,0,0,0,0,0,0,0,28,20,4,0,0,0,0,0,0,0,0,4
